title,location,language_req
"Üzemi Drazsírozó",Debrecen,"Nem igényel nyelvtudást"
"Minőségbiztosítási mérnök","4031 Debrecen, Bartók Béla út","Angol középfok"
"Junior SAP/Atlassian tanácsadó, fejlesző","4027 Debrecen, Csigekert utca 69.","Angol középfok"
"Junior HR koordinátor",Nádudvar,"Nem igényel nyelvtudást"
Komissiózó,Polgár,"Nem igényel nyelvtudást"
"Mérnök üzletkötő","Rugalmas munkavégzési hely - Békés megye, Borsod-Abaúj-Zemplén megye, Csongrád-Csanád megye, Hajdú-Bihar megye, Jász-Nagykun-Szolnok megye, Szabolcs-Szatmár-Bereg megye","Angol középfok"
"Víz-, Gáz-, Fűtésszerelő, Villanyszerelő","Rugalmas munkavégzési hely - Hajdú-Bihar megye","Nem igényel nyelvtudást"
Eladó,"Hajdúszoboszló, Kabai útfél 0228/2 hrsz, 4200","Nem igényel nyelvtudást"
"Élelmezési adminisztrátor (Debrecen)","4032 Debrecen","Nem igényel nyelvtudást"
Raktáros,Debrecen,"Nem igényel nyelvtudást"
"Főelosztó-hálózati szerelő/villanyszerelő:","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Bérszámfejtő Munkatárs/Adminisztrátor (távmunka)","Otthonról végezhető","Angol középfok"
"Ingatlan tanácsadó és értékesítő","Szombathely, Nagykanizsa, Dombóvár, Zalaegerszeg, Győr, Szolnok, Békéscsaba, Tapolca, Komárom, Tatabánya, Miskolc, Sopron, Óbuda, Debrecen, Veszprém, Siófok, Pápa","Nem igényel nyelvtudást"
"Márkakereskedés (nagykereskedelmi értékesítés) német gyártói szemoptika termékekre ESCHENBACH OPTIK Magyarország egész régiójában","Országosan bárhonnan végezhető","Angol középfok"
"Szenior üzemmérnök",Debrecen,"Angol felsőfok"
"Csomagoló gépkezelő",Debrecen,"Nem igényel nyelvtudást"
"Üzemi laboráns",Debrecen,"Nem igényel nyelvtudást"
"Sterilező, előkészítő",Debrecen,"Nem igényel nyelvtudást"
"Üzemi takarító",Debrecen,"Nem igényel nyelvtudást"
Szaktanácsadó,"Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
